"Codigo_especie","Provincia","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2","Especie"
846,14,"VCC",3,"0",11,0,0,0,0,0.0021005,1.73253,0.67674,0.88452,NA
846,14,"VSC",3,"0",7,-8.6,0.8085807,0.0001121,0,0,0,0,0.98517,NA
846,14,"IAVC",3,"0",20,0.57774,0.0089598,0,1.324e-08,0,0,0,0.35805,NA
846,14,"VLE",3,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,14,"VCC",4,"0",11,0,0,0,0,0.0021005,1.73253,0.67674,0.88452,NA
846,14,"VSC",4,"0",7,-8.6,0.8085807,0.0001121,0,0,0,0,0.98517,NA
846,14,"IAVC",4,"0",20,0.57774,0.0089598,0,1.324e-08,0,0,0,0.35805,NA
846,14,"VLE",4,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,14,"VCC",5,"0",11,0,0,0,0,0.0021005,1.73253,0.67674,0.88452,NA
846,14,"VLE",5,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,10,"VCC",1,"11",1,67.32,0.0002353,0,0,0,0,0,0.95972,NA
846,5,"VSC",4,"11",7,-11.35,0.8903581,1.44e-05,0,0,0,0,0.99618,NA
846,10,"IAVC",1,"0",19,6.75869,-0.050897,0.0001546,-7.695e-08,0,0,0,0.50047,NA
846,10,"VLE",1,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,10,"VCC",2,"11",1,67.32,0.0002353,0,0,0,0,0,0.95972,NA
846,10,"VSC",2,"11",7,-48.22,0.9598875,-8.45e-05,0,0,0,0,0.94667,NA
846,10,"IAVC",2,"0",19,6.75869,-0.050897,0.0001546,-7.695e-08,0,0,0,0.50047,NA
846,10,"VLE",2,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,10,"VCC",4,"11",1,31.39,0.0001837,0,0,0,0,0,0.85655,NA
846,10,"VSC",4,"11",7,-10.23,0.8379684,3.32e-05,0,0,0,0,0.98131,NA
846,10,"IAVC",4,"0",19,6.75869,-0.050897,0.0001546,-7.695e-08,0,0,0,0.50047,NA
846,10,"VLE",4,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,10,"VCC",5,"11",1,67.32,0.0002353,0,0,0,0,0,0.95972,NA
846,10,"VSC",5,"11",7,-48.22,0.9598875,-8.45e-05,0,0,0,0,0.94667,NA
846,10,"IAVC",5,"0",19,6.75869,-0.050897,0.0001546,-7.695e-08,0,0,0,0.50047,NA
846,10,"VLE",5,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,8,"VCC",5,"11",1,74.26,0.0002163,0,0,0,0,0,0.99968,NA
846,8,"VSC",5,"11",7,-18.36,0.4751957,0.0001598,0,0,0,0,0.93181,NA
846,8,"VSC",4,"11",7,-17.93,0.7290578,0.0001402,0,0,0,0,0.96865,NA
846,8,"IAVC",4,"11",17,-0.91294,0.0129934,1.02e-05,0,0,0,0,0.267695108,NA
846,8,"VCC",4,"11",1,42.03,0.0001477,0,0,0,0,0,0.85535,NA
846,8,"VSC",3,"11",7,-7.08,0.7422369,7.3e-05,0,0,0,0,0.92998,NA
846,8,"VCC",3,"11",1,57.24,0.00025,0,0,0,0,0,0.96812,NA
846,8,"IAVC",2,"11",17,-0.91294,0.0129934,1.02e-05,0,0,0,0,0.267695108,NA
846,8,"VSC",2,"11",7,-7.08,0.7422369,7.3e-05,0,0,0,0,0.92998,NA
846,8,"VCC",2,"11",1,57.24,0.00025,0,0,0,0,0,0.96812,NA
846,8,"IAVC",1,"11",17,-0.91294,0.0129934,1.02e-05,0,0,0,0,0.267695108,NA
846,8,"VSC",1,"11",7,-7.08,0.7422369,7.3e-05,0,0,0,0,0.92998,NA
846,8,"VLE",2,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56358999,NA
846,8,"IAVC",3,"11",17,-0.91294,0.0129934,1.02e-05,0,0,0,0,0.267695108,NA
846,8,"VLE",3,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56358999,NA
846,8,"VLE",4,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56358999,NA
846,18,"VLE",2,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,21,"VCC",2,"0",11,0,0,0,0,0.0009073,2.0208,0.47393,0.99579,NA
846,21,"VSC",2,"0",7,-10.54,0.8633231,2.27e-05,0,0,0,0,0.99484,NA
846,21,"IAVC",2,"0",14,0,0,0,0,0.0340273,0.39465,0,0.01178,NA
846,21,"VLE",2,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,21,"VCC",4,"0",11,0,0,0,0,0.00048,2.05519,0.47843,0.8772,NA
