Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral,Grupo,Hoja
140,Globularia alypum,Nacional,IFN4_MFE25,MATO,,
141,Hedera helix,Nacional,IFN4_MFE25,MATO,,
142,Helianthemum spp.,Nacional,IFN4_MFE25,MATO,,
143,Jasminum fruticans,Nacional,IFN4_MFE25,MATO,,
144,Lonicera spp.,Nacional,IFN4_MFE25,MATO,,
145,Medicago arborea,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
146,Nerium oleander,Nacional,IFN4_MFE25,MATO,,
148,Prunus mahaleb,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
149,Smilax aspera,Nacional,IFN4_MFE25,MATO,,
151,Thymelaea spp.,Nacional,IFN4_MFE25,MATO,,
152,Coronilla emerus,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
153,Cytisophyllum sessilifolium,Nacional,IFN4_MFE25,MATO,,
154,Dorycnium pentaphyllum,Nacional,IFN4_MFE25,MATO,,
155,Genista spp.,Nacional,IFN4_MFE25,MATO,,
156,Ononis tridentata,Nacional,IFN4_MFE25,MATO,,
157,Ulex parviflorus,Nacional,IFN4_MFE25,MATO,,
161,Echium spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
162,Euphorbia spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
165,Teline spp.,Nacional,IFN4_MFE25,MATO,,
167,Cytisus arboreus,Nacional,IFN4_MFE25,MATO,,
169,Aphyllanthes monspeliensis,Nacional,IFN4_MFE25,MATO,,
171,Phlomis spp.,Nacional,IFN4_MFE25,MATO,,
173,Ephedra spp.,Nacional,IFN4_MFE25,MATO,,
174,Vitis vinifera,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
177,Echinospartum spp.,Nacional,IFN4_MFE25,MATO,,
179,Teucrium spp.,Nacional,IFN4_MFE25,MATO,,
180,Sideritis spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
181,Securinega tinctoria,Nacional,IFN4_MFE25,MATO,,
182,Lithodora spp.,Nacional,IFN4_MFE25,MATO,,
186,Salsola spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
200,Amelanchier ovalis,Nacional,IFN4_MFE25,MATO,,
300,Frangula alnus,Nacional,IFN4_MFE25,MATO,,
400,Rhamnus alaternus,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
500,Euonymus europaeus,Nacional,IFN4_MFE25,MATO,,
600,Myrtus communis,Nacional,IFN4_MFE25,MATO,,
900,Cornus sanguinea,Nacional,IFN4_MFE25,MATO,,
1095,Prunus mahaleb,Nacional,IFN4_MFE25,MATO,,
1101,Cistus ladanifer,Nacional,IFN4_MFE25,MATO,,
1102,Erica arborea,Nacional,IFN4_MFE25,MATO,,
1103,Ulex spp.,Nacional,IFN4_MFE25,MATO,,
1104,Erinacea spp.,C.C.A.A. de Navarra. Galicia. Asturias. Cantabria,IFN4_MFE25,MATO,,
1109,Lavandula latifolia,Nacional,IFN4_MFE25,MATO,,
1110,Daphne gnidium,Nacional,IFN4_MFE25,MATO,,
1117,Halimium halimifolium,Nacional,IFN4_MFE25,MATO,,
1121,Rubus caesius,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
1122,Rhamnus lycioides,Nacional,IFN4_MFE25,MATO,,
1124,Bupleurum fruticosum,Nacional,IFN4_MFE25,MATO,,
1127,Santolina spp.,Nacional,IFN4_MFE25,MATO,,
1129,Thymus mastichina,Nacional,IFN4_MFE25,MATO,,
1131,Ribes alpinum,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
1132,Clematis flammula,Nacional,IFN4_MFE25,MATO,,
1134,Spiraea hypericifolia,Nacional,IFN4_MFE25,MATO,,
1135,Osyris alba,Nacional,IFN4_MFE25,MATO,,
